Customer_ID,Tenure,MonthlyCharge,Contract,InternetService,Churn_Actual,Churn_Probability,Churn_Risk
K409198,6.795512947,172.455519,One year,Fiber Optic,No,0.029841269841269842,Low
S120509,1.156680997,242.632554,Month-to-month,Fiber Optic,Yes,0.9783376941069553,High
K191035,15.75414408,159.947583,Two Year,DSL,No,0.06477056632663039,Low
D90850,17.08722662,119.95684,Two Year,DSL,No,0.05020285018470136,Low
K662701,1.670971726,149.948316,Month-to-month,Fiber Optic,Yes,0.744405637319327,High
W303516,7.000993555,185.007692,One year,,No,0.2952226421712083,Low
U335188,13.23677381,200.118516,Month-to-month,DSL,Yes,0.9938461538461538,High
V538685,4.26425515,114.950905,Month-to-month,DSL,Yes,0.6357264695989115,Medium
M716771,8.220686373,117.468591,Month-to-month,DSL,No,0.23690731593630598,Low
I676080,3.422086139,162.482694,Two Year,Fiber Optic,No,0.03639264992206168,Low
J980369,19.26726194,174.958118,Month-to-month,DSL,No,0.45564693265631667,Medium
E243720,10.52199781,149.962093,Month-to-month,Fiber Optic,No,0.16836741904733496,Low
F139569,13.01149229,137.439154,Month-to-month,Fiber Optic,No,0.09522253298233205,Low
X44200,16.87922024,184.971516,Two Year,Fiber Optic,No,0.032541753650342196,Low
H68068,10.06019902,159.965581,Month-to-month,DSL,Yes,0.794712337660732,High
A403906,13.87001293,177.65076,One year,,Yes,0.6946129758254075,Medium
V847470,15.78214958,194.966286,Month-to-month,DSL,Yes,0.9536639611941393,High
F721878,2.303331273,202.682861,Two Year,,Yes,0.8469608945456396,High
F487435,17.10995632,152.490739,Two Year,,No,0.006521739130434783,Low
B561228,12.80615845,149.944668,Month-to-month,DSL,Yes,0.9247744838208513,High
X325271,20.45390977,184.978458,Month-to-month,Fiber Optic,No,0.3843696383760373,Medium
I282896,2.415991977,127.495766,Two Year,Fiber Optic,No,0.002380952380952381,Low
I367206,6.652298992,124.964303,Month-to-month,Fiber Optic,No,0.0628666705509823,Low
N37182,8.543717478,149.948316,One year,Fiber Optic,No,0.04066770647653001,Low
U644626,5.770390256,162.511928,Month-to-month,,Yes,0.8649176193623771,High
A766555,4.157658837,92.455141,Month-to-month,DSL,Yes,0.5544585710894601,Medium
V54032,10.40566091,222.649979,Month-to-month,Fiber Optic,Yes,0.9920772946859904,High
Z301326,1.392421597,139.981577,Month-to-month,,Yes,0.9051930533323957,High
J887250,1.430386349,200.132293,One year,DSL,Yes,0.705895278396062,High
Z686376,5.425864884,257.651257,Two Year,DSL,Yes,0.9876328502415458,High
L357432,11.08287797,230.105118,Two Year,Fiber Optic,No,0.30543612626756966,Medium
V899967,3.586184954,147.489301,Two Year,,No,0.04937744551555293,Low
G571225,4.727388465,230.105118,Month-to-month,Fiber Optic,Yes,1.0,High
S381541,20.89923386,174.958118,Month-to-month,DSL,Yes,0.8084716328968818,High
R195593,3.471329958,267.664655,One year,Fiber Optic,Yes,0.9290311860279625,High
I327596,5.478588204,162.483267,Month-to-month,DSL,Yes,0.834963792347127,High
U790894,3.312991809,229.993134,Month-to-month,Fiber Optic,Yes,0.8857881201985347,High
O739489,7.161561527,140.00128,One year,DSL,No,0.020471182848292163,Low
I958127,9.847563364,184.964681,Two Year,Fiber Optic,No,0.11158285090293737,Low
Z666770,16.04202196,147.473844,Two Year,Fiber Optic,No,0.010953833244582142,Low
X711438,9.179779682,172.457857,Month-to-month,Fiber Optic,No,0.42924561864379807,Medium
U369541,3.002844144,107.481989,Month-to-month,DSL,No,0.3181039074517823,Medium
S896111,3.924254455,255.141716,Two Year,Fiber Optic,Yes,0.9545660720428522,High
K227200,18.55959629,192.456745,Two Year,Fiber Optic,No,0.016646889414418498,Low
