Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Contract,InternetService,PaperlessBilling,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Churn
6.795512947,172.455519,904.5361102,7.978322947,One year,Fiber Optic,Yes,Credit Card (automatic),Yes,No,No,Yes,No
1.156680997,242.632554,800.9827661,11.69907956,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),Yes,No,Yes,Yes,Yes
15.75414408,159.947583,2054.706961,10.75280028,Two Year,DSL,Yes,Credit Card (automatic),No,No,No,Yes,No
17.08722662,119.95684,2164.579412,14.91353964,Two Year,DSL,Yes,Mailed Check,Yes,No,Yes,No,No
1.670971726,149.948316,271.4934362,8.147416533,Month-to-month,Fiber Optic,No,Mailed Check,No,Yes,Yes,No,Yes
7.000993555,185.007692,1039.357983,8.420992898,One year,,No,Electronic Check,Yes,No,No,Yes,No
13.23677381,200.118516,1907.242972,11.18272453,Month-to-month,DSL,No,Electronic Check,No,Yes,Yes,Yes,Yes
4.26425515,114.950905,979.6127078,7.791632265,Month-to-month,DSL,Yes,Mailed Check,No,No,No,No,Yes
8.220686373,117.468591,1312.874964,5.739005915,Month-to-month,DSL,Yes,Bank Transfer(automatic),Yes,No,No,No,No
3.422086139,162.482694,508.7637913,8.707823904,Two Year,Fiber Optic,Yes,Mailed Check,Yes,No,No,Yes,No
19.26726194,174.958118,2728.767869,9.341631685,Month-to-month,DSL,No,Mailed Check,Yes,No,Yes,No,No
10.52199781,149.962093,1180.588788,6.68082638,Month-to-month,Fiber Optic,No,Electronic Check,No,No,Yes,No,No
13.01149229,137.439154,1196.388018,8.273875452,Month-to-month,Fiber Optic,No,Bank Transfer(automatic),No,No,Yes,No,No
16.87922024,184.971516,1948.694497,5.880565591,Two Year,Fiber Optic,Yes,Bank Transfer(automatic),Yes,Yes,Yes,No,No
10.06019902,159.965581,1582.295235,11.79073041,Month-to-month,DSL,Yes,Bank Transfer(automatic),No,Yes,No,No,Yes
13.87001293,177.65076,1840.014467,10.79846973,One year,,Yes,Electronic Check,Yes,No,Yes,Yes,Yes
15.78214958,194.966286,2070.376729,13.52284721,Month-to-month,DSL,Yes,Bank Transfer(automatic),No,No,No,Yes,Yes
2.303331273,202.682861,882.0985933,9.831166695,Two Year,,No,Mailed Check,Yes,Yes,Yes,Yes,Yes
17.10995632,152.490739,1833.0967,9.57470568,Two Year,,Yes,Bank Transfer(automatic),No,Yes,Yes,No,No
12.80615845,149.944668,1954.080809,10.92246098,Month-to-month,DSL,Yes,Credit Card (automatic),No,No,Yes,No,Yes
20.45390977,184.978458,2330.319383,12.06889188,Month-to-month,Fiber Optic,Yes,Bank Transfer(automatic),Yes,No,No,Yes,No
2.415991977,127.495766,594.1054279,6.984819996,Two Year,Fiber Optic,No,Bank Transfer(automatic),Yes,No,No,No,No
